;Nom_Oferta;Empresa;Ubicació;Temps_Oferta;Horari
230;Data Migration Analyst;Accenture España;Sant Cugat del Vallès, Cataluña, España;hace 1 día;Jornada completa · Intermedio
231;Master Data Analyst;Page Personnel;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Algo de responsabilidad
232;Data Analyst;Goin;Barcelona, Cataluña, España;hace 1 mes;Jornada completa
233;Power BI Consultant (I&D);Capgemini;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
234;Data Analyst/Web Analyst (M/F);Wipro;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
235;Junior Data Analyst;NTT DATA Business Solutions Spain;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa
236;International BI/BA Analyst (H/M);Experis España;Granollers y alrededores;hace 1 día;Jornada completa · Intermedio
237;Data Science;Accenture España;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Sin experiencia
238;Data Analyst;Product Madness 📱🎮;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Sin experiencia
239;Data Engineer (P.A-0104);M Digital Partner;Barcelona, Cataluña, España;hace 4 semanas;Jornada completa · Sin experiencia
240;Junior Data Scientist;Allianz Technology;Barcelona, Cataluña, España;hace 3 días;Jornada completa
241;Data Engineer;Kiteris;Barcelona, Cataluña, España;hace 5 meses;Jornada completa · Sin experiencia
242;Business Intelligence Developer / Analyst (f/m/d).;wefox;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Algo de responsabilidad
243;Business Intelligence Specialist;Tech Data;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
